YEAR,MONTH,DAY,STID,TMAX,TMIN,DMAX,DMIN,HMAX,HMIN,PDIR,WSMX,RAIN
2020,1,1,NRMN,55.90,34.64,41.54,21.83,79.10,40.71,8,22.88,0.00
2020,1,2,NRMN,58.14,44.13,46.18,36.89,93.40,50.07,7,14.41,0.00
2020,1,3,NRMN,54.66,35.50,40.24,28.27,86.33,41.21,15,19.42,0.00
2020,1,4,NRMN,53.20,26.97,30.50,18.58,89.43,27.83,-996,13.39,0.00
2020,1,5,NRMN,61.43,31.86,33.53,21.85,87.32,30.90,1,24.65,0.00
2020,1,6,NRMN,58.77,26.95,29.58,20.65,82.97,30.92,-996,18.12,0.00
2020,1,7,NRMN,62.20,25.23,25.82,15.17,80.69,16.24,-996,14.55,0.00
2020,1,8,NRMN,63.73,34.93,37.36,20.36,55.49,22.23,8,20.98,0.00
2020,1,9,NRMN,69.57,53.35,58.81,37.59,96.92,54.34,8,19.04,0.00
2020,1,10,NRMN,73.36,29.15,62.05,25.54,97.14,58.34,7,30.38,0.02
2020,1,11,NRMN,37.60,22.77,25.52,16.25,91.06,51.29,15,26.33,0.00
2020,1,12,NRMN,56.71,28.93,38.36,25.12,94.39,42.29,7,19.69,0.00
2020,1,13,NRMN,53.96,36.26,53.19,35.15,99.32,87.56,7,13.25,0.02
2020,1,14,NRMN,67.77,52.23,53.55,47.41,97.67,50.67,7,15.95,0.00
2020,1,15,NRMN,61.05,41.84,58.91,36.30,99.10,58.25,1,20.62,0.00
2020,1,16,NRMN,41.67,29.12,36.05,19.17,96.46,46.14,1,21.56,0.88
2020,1,17,NRMN,50.47,35.55,49.80,34.52,98.37,94.87,8,20.00,1.30
2020,1,18,NRMN,50.52,29.17,49.92,18.45,98.28,32.31,0,27.02,0.00
2020,1,19,NRMN,51.33,23.69,27.62,19.49,92.43,28.86,-996,11.30,0.00
2020,1,20,NRMN,53.96,23.11,28.96,17.13,85.11,32.44,-996,10.16,0.00
2020,1,21,NRMN,43.66,24.85,33.13,18.94,92.70,53.60,6,14.05,0.09
2020,1,22,NRMN,38.46,33.52,38.08,32.44,99.22,92.82,7,17.35,0.37
2020,1,23,NRMN,55.56,35.16,40.52,26.27,99.51,33.91,14,21.12,0.00
2020,1,24,NRMN,50.99,33.15,32.41,26.71,85.62,42.77,14,20.47,0.00
2020,1,25,NRMN,63.75,29.94,41.25,27.29,91.26,40.49,5,11.75,0.00
2020,1,26,NRMN,62.13,35.66,39.51,32.84,95.04,39.07,-996,12.99,0.00
2020,1,27,NRMN,66.78,29.51,46.09,28.68,97.98,36.92,-996,14.62,0.00
2020,1,28,NRMN,47.12,33.82,45.51,32.39,97.31,93.10,0,20.71,0.94
2020,1,29,NRMN,39.54,33.24,34.20,30.00,95.41,77.56,0,19.51,0.00
2020,1,30,NRMN,40.10,27.08,33.31,26.22,98.53,70.55,-996,7.00,0.00
2020,1,31,NRMN,52.21,29.51,35.71,22.33,97.47,43.53,-996,15.55,0.01
2020,2,1,NRMN,65.19,25.25,32.67,18.75,93.91,20.90,-996,12.62,0.00
2020,2,2,NRMN,76.86,40.91,34.77,26.52,58.92,20.43,9,14.63,0.00
2020,2,3,NRMN,69.24,39.13,38.84,30.32,79.11,28.06,8,18.30,0.00
2020,2,4,NRMN,39.03,29.91,34.40,25.75,96.03,78.41,0,20.54,0.01
2020,2,5,NRMN,30.62,24.70,28.28,19.35,98.03,72.97,0,17.70,0.00
