YEAR,MONTH,DAY,STID,TMAX,TMIN,DMAX,DMIN,HMAX,HMIN,PDIR,WSMX,WSMN,RAIN
2021,1,1,NRMN,35.56,31.37,31.97,27.52,98.52,75.54,-996,-996.00,-996.00,0.47
2021,1,2,NRMN,45.39,32.28,34.87,26.82,87.55,59.30,6,8.31,1.11,0.36
2021,1,3,NRMN,46.28,27.74,36.39,26.26,97.43,61.26,-996,9.64,0.00,0.02
2021,1,4,NRMN,57.06,27.98,38.65,26.19,96.80,47.12,-996,16.87,0.00,0.00
2021,1,5,NRMN,59.43,27.90,38.00,26.54,98.02,33.76,-996,15.97,0.00,0.01
2021,1,6,NRMN,51.35,40.33,41.53,33.94,92.52,55.08,15,17.69,0.38,0.08
2021,1,7,NRMN,41.83,38.20,38.14,34.53,95.43,77.12,15,20.02,5.75,0.00
2021,1,8,NRMN,40.94,25.16,36.39,23.55,94.06,61.80,0,13.64,0.00,0.00
2021,1,9,NRMN,42.72,21.68,29.78,20.11,96.15,51.85,-996,7.63,0.00,0.01
2021,1,10,NRMN,39.11,30.19,29.44,23.63,88.06,59.75,1,12.49,1.81,0.00
2021,1,11,NRMN,46.90,24.29,26.81,20.49,88.05,41.27,-996,8.75,0.87,0.00
2021,1,12,NRMN,52.50,25.66,32.66,22.88,92.93,35.11,9,10.27,1.38,0.00
2021,1,13,NRMN,61.88,26.36,35.51,22.04,96.28,21.66,9,18.25,1.98,0.00
2021,1,14,NRMN,54.43,32.34,34.32,11.13,85.59,20.31,15,30.85,0.00,0.00
2021,1,15,NRMN,46.35,31.43,20.01,10.22,61.84,25.29,14,32.61,7.12,0.00
2021,1,16,NRMN,52.32,25.57,22.39,12.95,74.06,21.07,12,13.40,0.27,0.00
2021,1,17,NRMN,55.17,29.78,29.19,14.11,70.10,21.58,14,23.47,0.59,0.00
2021,1,18,NRMN,62.22,31.08,35.64,17.38,66.97,33.97,8,16.52,1.97,0.00
2021,1,19,NRMN,49.03,30.13,30.54,19.81,73.09,37.26,0,16.98,0.04,0.00
2021,1,20,NRMN,45.00,26.14,40.27,20.45,90.48,50.51,-996,19.66,0.00,0.00
2021,1,21,NRMN,50.00,37.99,42.66,37.20,98.34,73.92,-996,9.98,0.25,0.00
2021,1,22,NRMN,55.24,38.29,41.71,24.17,95.97,37.67,2,14.77,3.51,0.00
2021,1,23,NRMN,48.61,37.06,47.78,24.75,98.10,53.72,7,14.18,4.29,0.00
2021,1,24,NRMN,51.37,44.21,51.19,39.61,99.39,76.96,8,13.78,2.09,0.16
2021,1,25,NRMN,58.39,32.84,47.79,28.33,99.22,51.29,15,22.08,2.30,0.68
2021,1,26,NRMN,39.25,27.05,28.49,22.00,88.15,62.38,0,16.40,3.74,0.00
2021,1,27,NRMN,37.79,23.24,27.00,17.90,85.69,49.53,0,18.43,2.01,0.00
2021,1,28,NRMN,46.83,18.65,28.56,15.51,92.63,44.49,-996,11.23,0.00,0.00
2021,1,29,NRMN,56.91,32.55,41.92,28.42,88.06,44.58,8,21.68,4.66,0.00
2021,1,30,NRMN,68.29,38.90,54.74,31.79,96.93,30.50,8,28.86,5.90,0.07
2021,1,31,NRMN,48.81,31.39,35.02,26.13,90.69,50.58,15,24.63,4.08,0.00
2021,2,1,NRMN,55.02,26.01,32.15,21.26,97.25,27.71,-996,7.27,0.00,0.00
